DateTime,TweetId,Text,Username,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount,Media
2020-05-28 05:32:46+00:00,1265878660688547842,Коронавирус в Днепре: актуальная ситуация на 28 мая - https://t.co/vWvVRqzalw - https://t.co/ikgV3NlNea,InfoDnepr,ru,,0,1,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/EZFN7vVWoAEfE69?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EZFN7vVWoAEfE69?format=jpg&name=orig', altText=None)]"
2020-05-28 05:32:35+00:00,1265878614727327744,#FlashNews Общо позитивните за #коронавирус у нас станаха 2477 #Българияновини #новини #covid19Bulgaria  https://t.co/n1EjwOTTTp,flashnews_news,bg,"['FlashNews', 'коронавирус', 'Българияновини', 'новини', 'covid19Bulgaria']",0,0,0,0,
2020-05-28 05:32:26+00:00,1265878576320184322,Коронавирус. Ежедневная статистика https://t.co/bLZh2aLAs5,elitetrader_ru,ru,,0,0,0,0,
2020-05-28 05:32:08+00:00,1265878501351133184,Коронавирус жуктуруу тобокелдиги Бишкекте жогорулап жатат https://t.co/rqaNvlR3u8,barometr_kg,ru,,0,0,0,0,
2020-05-28 05:30:51+00:00,1265878181007052802,"Для российских медиков выпустили методичку о том, как ставить диагнозы и что считать причиной смерти. Там есть интересный момент: если у пациента есть коронавирус, но нет симптомов, он не включается в статистику заболеваемости и смертности. Подробнее:

https://t.co/Gk6z7OnI3k",59ru,ru,,0,3,1,0,
2020-05-28 05:30:42+00:00,1265878141907677184,"Фейкам НЕТ. Выпуск №19. С вирусом шутки плохи
• Кого обложат налогом «на коронавирус» - и кто придумал эти новые поборы с россиян?
• Как плата за пребывание в обсерваторе для «неместных» выросла в десять раз?
• За что сахалинец заплатил штраф в 300 тысяч рублей? https://t.co/3v49nLntIm",FeikamNet,ru,,0,0,0,0,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1265875391987752965/pu/img/TLhRDt8QCci0dstv.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1265875391987752965/pu/pl/VNnqHIUBwzqlw-rU.m3u8?tag=10', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1265875391987752965/pu/vid/1280x720/aH1Ds9ZVVS6US0Pm.mp4?tag=10', contentType='video/mp4', bitrate=2176000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1265875391987752965/pu/vid/480x270/_GrEi8dc9UkMHqbE.mp4?tag=10', contentType='video/mp4', bitrate=256000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1265875391987752965/pu/vid/640x360/bMwieIjiLawAOtnf.mp4?tag=10', contentType='video/mp4', bitrate=832000)], duration=140.0, views=20, altText=None)]"
2020-05-28 05:29:13+00:00,1265877768929148928,Коронавирус в Санкт-Петербурге на 28 мая 2020 года https://t.co/jqS8MIkeyg,photoprokatchel,ru,,0,0,0,0,
2020-05-28 05:29:05+00:00,1265877733487398913,"Коронавирус – вызов, с которым столкнулся мир: все новости https://t.co/iaXMzOiaCX https://t.co/cb6TZ9TJSN",IA_REGNUM,ru,,0,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/EZFNFsQX0AATaBL?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EZFNFsQX0AATaBL?format=jpg&name=orig', altText=None)]"
2020-05-28 05:28:03+00:00,1265877474132574209,"Коронавирус – вызов, с которым столкнулся мир: все новости https://t.co/iaXMzOiaCX https://t.co/Gty3WaX2Sp",IA_REGNUM,ru,,0,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/EZFM2m2WsAAiT8u?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EZFM2m2WsAAiT8u?format=jpg&name=orig', altText=None)]"
2020-05-28 05:27:05+00:00,1265877229474545664,Коронавирус в России: ситуация стабилизируется – все новости https://t.co/ahXS0bEuV8 https://t.co/E8hbYP46BO,IA_REGNUM,ru,,0,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/EZFMoVBX0AU7Y4_?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EZFMoVBX0AU7Y4_?format=jpg&name=orig', altText=None)]"
